,ITEM.,DESCRIPCION DE PARTIDA,UND.,METRADO CONTRACTUAL,P.U. OFERTA S/.,ACUMULADO ANTERIOR,AVANCE ACTUAL,ppto,costacum,costact
194,05.02.02.03,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,123.6,25.18,0.0,0.0,3112.25,0.0,0.0
195,05.02.03,OBRAS DE CONCRETO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,05.02.03.01,SOLADO DE E=0.05 PARA CIMIENTO,m2,234.63,10.61,0.0,0.0,2489.42,0.0,0.0
197,05.02.03.02,ENCOFRADO Y DESENCOFRADO NORMAL EN MUROS,m2,938.5,33.67,0.0,0.0,31599.3,0.0,0.0
198,05.02.03.03,ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60,kg,6241.05,4.06,0.0,0.0,25338.66,0.0,0.0
199,05.02.03.04,CONCRETO PREMEZCLADO F'C 210 kg/cm2 E=0.30 m ACABADO C:A 1:2,m3,187.7,265.71,0.0,0.0,49873.77,0.0,0.0
200,05.02.03.05,"JUNTA DE 1"" DE POLIESTILENO CADA 3.50 M Y PERIMETRAL",m,795.28,17.57,0.0,0.0,13973.07,0.0,0.0
201,05.02.03.06,CURADO DE CONCRETO,m2,938.5,1.88,0.0,0.0,1764.38,0.0,0.0
202,05.02.03.07,FABRICACIÓN Y COLOCACIÓN DE REJAS METÁLICAS (INCLUYE. PINTURA),m,335.18,162.0,0.0,0.0,54299.16,0.0,0.0
203,6,OBRAS DE ARTE : CANAL Y VERTEDERO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,6.01,CANAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,06.01.01,OBRAS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,06.01.01.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,2432.54,1.54,1003.02,248.58,3746.11,1544.65,382.81
207,06.01.01.02,DEMOLICION DE OBRAS DE ARTE EXISTENTE,m3,551.77,122.63,269.92,0.0,67663.56,33100.29,0.0
208,06.01.02,MOVIMIENTO DE TIERRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,06.01.02.01,EXCAVACION A MANO EN TERRENO NORMAL HASTA FONDO DE ZANJA,m3,4458.36,31.58,1808.86,97.87,140795.01,57123.8,3090.73
210,06.01.02.02,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,4855.65,25.18,2273.31,105.25,122265.27,57241.95,2650.2
211,06.01.03,OBRAS DE CONCRETO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,06.01.03.01,CONCRETO F'C 100 kg/cm2 PARA SOLADO,m2,2432.54,10.61,1252.41,170.08,25809.25,13288.07,1804.55
213,06.01.03.02,ENCOFRADO Y DESENCOFRADO NORMAL EN CANAL,m2,8890.42,33.67,3532.44,404.53,299340.44,118937.25,13620.53
214,06.01.03.03,ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 EN CANAL,kg,73209.94,4.06,21046.21,5723.36,297232.36,85447.61,23236.84
215,06.01.03.04,CONCRETO PREMEZCLADO F'C 210 kg/cm2 H67 PARA CANAL,m3,1646.57,265.71,642.26,73.55,437510.11,170654.9,19542.97
216,06.01.03.05,RELLENO DE JUNTAS CON MATERIAL ELASTOMERICO,m,1673.0,14.93,196.72,531.28,24977.89,2937.03,7932.01
217,06.01.03.06,SUMINISTRO Y COLOCACION DE JUNTA DE CONSTRUCCION CON IDROSTOP,m,1644.0,36.76,642.26,85.74,60433.44,23609.48,3151.8
218,06.01.03.07,CURADO DE   CONCRETO,m2,11719.46,1.65,2247.92,2762.75,19337.11,3709.07,4558.54
219,06.01.03.08,TAPA DE CONCRETO PARA INSPECCION Y LIMPIEZA SEGUN DETALLE,und,330.0,90.0,0.0,0.0,29700.0,0.0,0.0
220,06.01.03.09,COMPUERTA METALICA DE IZAJE,und,13.0,2700.0,0.0,0.0,35100.0,0.0,0.0
221,7,PLAN DE MANEJO DE MITIGACION DE IMPACTO AMBIENTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,7.01,MITIGACION DE IMPACTO AMBIENTAL,glb,1.0,27140.24,0.0,0.0,27140.24,0.0,0.0
